"","Estado","Municipio","Nome","Lat","Long","Operador","Observacao","Volume recebido(toneladas/dia)","Porte","Data Abertura","Fonte_1","Fonte_2","Fonte_3","m3_biomethane_per_ton_rsu"
"23","MG","Juiz de Fora","Aterro Sanitário de Juiz de Fora",-21.6198387359295,-48.31841478,"Vital Engenharia",NA,1500,NA,NA,"https://www2.ufjf.br/engsanitariaeambiental/2012/02/05/aterro-sanitario-de-juiz-de-fora-e-utilizado-por-outros-municipios/","https://www.google.com/maps/place/Vital+Engenharia+Ambiental+SA/@-21.6218335,-43.4959586,13z/data=!4m9!1m2!2m1!1sBR-040,+altura+de+Dias+Tavares,+MG,+Brasil!3m5!1s0xa275b0ea1dc13b:0xcd6e9dd9d0993cb8!8m2!3d-21.6240238!4d-43.4365074!16s%2Fg%2F11h6h9wrd5?entry=ttu&g_ep=EgoyMDI0MDgyMC4xIKXMDSoASAFQAw%3D%3D",NA,354419.443138563
"24","MG","Montes Claros","Aterro Sanitário de Montes Claros",-16.7809889503568,-43.8912528286588,NA,NA,231,NA,NA,"https://www.google.com/maps/place/Aterro+Municipal+de+Montes+Claros/@-16.7848512,-43.9580291,13z/data=!4m10!1m2!2m1!1saterro+sanit%C3%A1rio+perto+de+Montes+Claros,+MG,+Brasil!3m6!1s0xab53b5ebe536b3:0x7cb74a40b8b1b6cc!8m2!3d-16.7848553!4d-43.8959032!15sCjRhdGVycm8gc2FuaXTDoXJpbyBwZXJ0byBkZSBNb250ZXMgQ2xhcm9zLCBNRywgQnJhc2lskgEQY29ycG9yYXRlX29mZmljZeABAA!16s%2Fg%2F11f9y2cm53?entry=ttu&g_ep=EgoyMDI0MDgyMC4xIKXMDSoASAFQAw%3D%3D","https://gazetanm.com.br/montes-claros-gasta-mais-de-10-milhoes-para-enterrar-lixo/#:~:text=Montes%20Claros%20tem%20um%20media,venceu%20em%20setembro%20de%202021.",NA,54580.5942433387
"25","MG","Pouso Alegre","Aterro Sanitário de Pouso Alegre",-22.1579462271316,-45.9027170418691,"Grupo Lara",NA,250,NA,NA,"https://pousoalegre.mg.gov.br/imagens/image/noticias/PRODUTO%203%20-%20Diagn%C3%B3stico%20-%20PMGIRS%20PA%20%5BVP%5D%20-%20REV00.pdf","https://www.google.com/maps/place/LARA+Central+de+Tratamento+de+Res%C3%ADduos+Ltda/@-22.1600627,-45.9138107,16z/data=!4m10!1m2!2m1!1sAterro+Sanit%C3%A1rio+de+Pouso+Alegre!3m6!1s0x94cbb62abe89f421:0xc4205acc5d12b594!8m2!3d-22.1582358!4d-45.9030175!15sCiFBdGVycm8gU2FuaXTDoXJpbyBkZSBQb3VzbyBBbGVncmWSARBjb3Jwb3JhdGVfb2ZmaWNl4AEA!16s%2Fg%2F11g6xf4xl1?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",NA,59069.9071897606
"26","DF","Brasilia","Aterro Sanitário do Distrito Federal",-15.8555538456552,-48.1519374132832,"Sollar Engenharia LTDA",NA,2000,NA,2017,"https://www.econodata.com.br/consulta-empresa/24331204000173-SOLLAR-ENGENHARIA-LTDA-SCP","https://abren.org.br/2023/07/14/aterro-do-df-recebe-62-mil-toneladas-de-lixo-por-mes-e-tera-capacidade-atingida-em-2027-metropoles/#:~:text=A%20capacidade%20total%20do%20aterro,13%20anos%20de%20vida%20%C3%BAtil.",NA,472559.257518084
"27","BA","Simões Filho","Aterro Sanitário Águas Claras Ambiental",-12.8573020744631,-38.4166358367012,"Grupo Solví Essencis","Usina de Beneficiamento de Resíduos. Sendo a maior do Norte-Nordeste. Produz matacão, brita dos tipos 4, 3, 2 e pó de brita",NA,NA,NA,"https://atarde.com.br/conteudopublicitario/aterro-sanitario-em-simoes-filho-possui-a-maior-usina-de-beneficiamento-do-norte-nordeste-1157824",NA,NA,NA
"28","BA","Camaçari","Aterro Sanitário de Camaçari- LIMPEC",-12.6865630507636,-38.2589669373278,"LIMPEC",NA,NA,NA,NA,"http://www.limpec.com.br/clam.asp",NA,NA,NA
"29","BA","Vitória da Conquista","Aterro Sanitário de Vitória da Conquista",-13.4595043800146,-40.8129419998729,NA,NA,180,NA,NA,"https://www.pmvc.ba.gov.br/aterro-sanitario/#:~:text=O%20aterro%20recebe%2C%20diariamente%2C%20cerca,Nacional%20de%20Sa%C3%BAde%20(FUNASA).","https://www.google.com/maps/place/Aterro+Sanit%C3%A1rio,+Vit%C3%B3ria+da+Conquista/@-14.841031,-40.9250573,17z/data=!3m1!4b1!4m6!3m5!1s0x7463dabf6c6fb6b:0x81fba2aa2594cd25!8m2!3d-14.8410362!4d-40.9224824!16s%2Fg%2F11b7f1g7f7?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D",NA,42530.3331766276
"30","BA","Itabuna","Aterro Sanitário de Itabuna",-14.7786586338558,-39.2079182679591,"CVR Costa do Cacau",NA,140,NA,NA,"https://pimenta.blog.br/2023/07/27/no-sul-da-bahia-itabuna-e-pioneira-em-coleta-seletiva-e-destinacao-correta-de-residuos/","https://www.google.com/maps/place/CVR+COSTA+DO+CACAU/@-14.7801779,-39.2103769,17z/data=!3m1!4b1!4m6!3m5!1s0x739a9a6d386a2b7:0xb41e4860305359de!8m2!3d-14.7801831!4d-39.207802!16s%2Fg%2F11qrxv66hj?entry=ttu&g_ep=EgoyMDI0MDgyMS4wIKXMDSoASAFQAw%3D%3D","https://diariobahia.com.br/aterro-sanitario-comeca-a-operar-em-itabuna/",33079.1480262659
"31","BA","Salvador","Aterro Metropolitano Centro (AMC) - Salvador",-12.8581967122072,-38.3700518915611,NA,"possui usina termelétrica para a geração de eletricidade",2500,NA,NA,"https://convibra.org/congresso/res/uploads/pdf/2013_28_7554.pdf","https://www.conder.ba.gov.br/sites/default/files/2018-08/Res%C3%ADduos%20S%C3%B3lidos%20e%20sua%20Destina%C3%A7%C3%A3o%20Final.PDF",NA,590699.071897605
"32","SC","Blumenau","CGR Blumenau - Centro de Gerenciamento de Resíduos de Blumenau",-26.6795339381613,-49.0327934567306,"Grupo Veolia Brasil",NA,NA,NA,1999,"https://www.google.com/maps/place/CGR+Blumenau+-+Centro+Gerenciamento+de+Res%C3%ADduos+de+Blumenau+-+Veolia+(Momento)/@-26.6796442,-49.0361301,17z/data=!4m14!1m7!3m6!1s0x94df1f2b93531411:0x1b515443dc8561a2!2sCGR+Blumenau+-+Centro+Gerenciamento+de+Res%C3%ADduos+de+Blumenau+-+Veolia+(Momento)!8m2!3d-26.679649!4d-49.0335552!16s%2Fg%2F1xfspwyn!3m5!1s0x94df1f2b93531411:0x1b515443dc8561a2!8m2!3d-26.679649!4d-49.0335552!16s%2Fg%2F1xfspwyn?entry=ttu",NA,NA,NA
"33","SC","Biguaçu","CGR Biguaçu - Centro Gerenciamento de Resíduos de Biguaçu - Veolia",-27.3606769634824,-48.63525430423,"Grupo Veolia Brasil","possui uma usina termelétrica de biogas e gera energia eletrica",1200,NA,NA,"https://www.google.com/maps/place/CGR+Bigua%C3%A7u+-+Centro+Gerenciamento+de+Res%C3%ADduos+de+Bigua%C3%A7u+-+Veolia/@-27.360939,-48.635662,17z/data=!3m1!4b1!4m6!3m5!1s0x952757306e45045f:0x6b8c7c799ed67b3a!8m2!3d-27.360939!4d-48.635662!16s%2Fg%2F11g0gsrs98?hl=pt-BR&entry=ttu","https://biguanews.com.br/aterro-sanitario-de-biguacu-passa-a-gerar-energia-atraves-de-usina-termeletrica-de-biogas/","https://ens.ufsc.br/2018/11/12/alunos-do-ens-visitam-central-de-gerenciamento-de-residuos-cgr-biguacu/#:~:text=O%20CGR%20Bigua%C3%A7u%20tem%20capacidade,de%2022%20munic%C3%ADpios%2C%20incluindo%20Florian%C3%B3polis.",283535.554510851
"34","SC","Brusque","CGR Brusque",-27.0115927825886,-48.8704310180938,"Grupo Veolia Brasil",NA,550,NA,NA,"https://www.google.com/maps/place/CGR+Brusque+-+Centro+de+Gerenciamento+de+Res%C3%ADduos+de+Brusque+-+Veolia+(Recicle+Catarinense)/@-27.0117505,-48.873596,17z/data=!3m1!4b1!4m6!3m5!1s0x94df376610a0b913:0xb03d8cf2a2f40f74!8m2!3d-27.0117553!4d-48.8710211!16s%2Fg%2F11cjh__4sk?entry=ttu","https://expedicaovida.com.br/voce-quer-saber-como-funciona-o-aterro-de-brusque-para-onde-vao-os-residuos-de-blumenau/",NA,129953.795817473
"35","SC","Içara","Aterro Sanitário de Içara",-28.7770869421854,-49.2956853697715,"Grupo Veolia Brasil",NA,NA,NA,NA,"https://www.google.com/maps/place/Rac+Saneamento/@-28.7870169,-49.6417547,11z/data=!4m10!1m2!2m1!1saterro+sanit%C3%A1rio+perto+de+I%C3%A7ara,+SC,+Brasil!3m6!1s0x9523d56267d6ca5d:0xa91312706d3bc951!8m2!3d-28.7870169!4d-49.3368841!15sCi1hdGVycm8gc2FuaXTDoXJpbyBwZXJ0byBkZSBJw6dhcmEsIFNDLCBCcmFzaWxaLSIrYXRlcnJvIHNhbml0w6FyaW8gcGVydG8gZGUgacOnYXJhIHNjIGJyYXNpbJIBFmVudmlyb25tZW50YWxfZW5naW5lZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRhelpsZDA1bkVBReABAA!16s%2Fg%2F11bzt3tc9b?entry=ttu","https://www.latinoamerica.veolia.com/pt/noticias/veolia-amplia-atuacao-no-brasil-e-adquire-mais-um-aterro-sanitario-em-santa-catarina",NA,NA
"36","SC","Joinville","Aterro Sanitário de Joinville",-26.2441355081336,-48.8977715661321,NA,"vão instalar uma usina para utilizar 110 toneladas de detritos por dia para a produção de um composto a ser utilizado como combustível na produção de energia, inicalmente para o uso do mesmo aterro",460,NA,NA,"https://www.google.com/maps/place/Aterro+Sanit%C3%A1rio+do+Munic%C3%ADpio+de+Joinville/@-26.2443424,-48.8985655,17z/data=!3m1!4b1!4m6!3m5!1s0x94dea5f951ed42a5:0x4e32d69d102ad4d5!8m2!3d-26.2443424!4d-48.8985655!16s%2Fg%2F11h2fn2k1l?entry=ttu","https://www.nsctotal.com.br/noticias/nova-usina-no-aterro-sanitario-de-joinville-e-tema-de-audiencia-publica-na-camara-de-vereadores","https://ndmais.com.br/meio-ambiente/aterro-de-joinville-vira-parque-ambiental-e-atrai-escolas/",108688.629229159
"37","SC","Lages","Aterro Sanitário de Lages",-27.7471088686576,-50.1662450868496,NA,NA,120,NA,NA,"https://www.google.com/maps/place/Aterro+Sanit%C3%A1rio+de+Lages/@-27.7472845,-50.168938,17z/data=!4m14!1m7!3m6!1s0x94e004a3dd2aa517:0x44fa9c0a33927b09!2sAterro+Sanit%C3%A1rio+de+Lages!8m2!3d-27.7472893!4d-50.1663631!16s%2Fg%2F11g7z9l7y4!3m5!1s0x94e004a3dd2aa517:0x44fa9c0a33927b09!8m2!3d-27.7472893!4d-50.1663631!16s%2Fg%2F11g7z9l7y4?entry=ttu","https://www.researchgate.net/publication/284447363_GESTAO_DE_RESIDUOS_SOLIDOS_DO_ATERRO_SANITARIO_NO_MUNICIPIO_DE_LAGES_-SC",NA,28353.5554510851
"38","SC","Itajaí","Aterro Sanitário de Itajaí",-26.9765858,-48.7045824,"empresa Ambiental Saneamento","possui usina de biogás para a geração de energia",400,NA,NA,"https://energiaebiogas.com.br/producao-de-biogas-no-aterro-sanitario-de-itajai-para-a-geracao-de-energia",NA,NA,94511.8515036169
"39","SC","Urussanga","Aterro Sanitário de Urussanga",-28.4994203724528,-49.3685616733259,"Cirsures",NA,46.8,NA,NA,"https://www.cirsures.sc.gov.br/conheca-o-aterro/",NA,NA,11057.8866259232
"40","CE","Caucaia","Aterro Sanitário de Caucaia – Fortaleza",-3.79427779415649,-38.672028885181,NA,"possui usina para a produção de biometano",3000,NA,NA,"https://epbr.com.br/aterro-no-ceara-pode-elevar-em-20-oferta-de-biometano/","https://movimentolixocidadao.com.br/fortaleza-tem-aterro-sanitario-com-umas-das-maiores-producoes-de-biogas-no-brasil-mas-coleta-seletiva-precisa-avancar/",NA,708838.886277126
"41","CE","Maracanau","Aterro Sanitário de Maracanaú",-3.89318417866301,-38.6431733544926,NA,NA,NA,NA,NA,"https://www.google.com/maps/place/Aterro+Sanit%C3%A1rio+de+Maracana%C3%BA/@-3.8933715,-38.64386,17z/data=!3m1!4b1!4m6!3m5!1s0x7c755d8aaab987b:0xba5584379fdf7e31!8m2!3d-3.8933715!4d-38.64386!16s%2Fg%2F11twrj_cxb?entry=ttu",NA,NA,NA
"42","CE","Aquiraz","Aterro Sanitário de Aquiraz",-3.93423128429348,-38.3911525349184,"Construtora Marquise",NA,200,NA,NA,"https://www.google.com/maps/place/Aterro+Sanit%C3%A1rio/@-3.9344293,-38.3914744,17z/data=!4m14!1m7!3m6!1s0x7c75ed12d349237:0xafc1a2d74968508a!2sAterro+Sanit%C3%A1rio!8m2!3d-3.9344293!4d-38.3914744!16s%2Fg%2F11bt_jy_7y!3m5!1s0x7c75ed12d349237:0xafc1a2d74968508a!8m2!3d-3.9344293!4d-38.3914744!16s%2Fg%2F11bt_jy_7y?entry=ttu","https://www.researchgate.net/profile/Alan-Ripoll-Alves/publication/310255769_O_ATERRO_SANITARIO_DE_AQUIRAZ_E_O_LIXAO_DE_CASCAVEL_SOB_O_PONTO_DE_VISTA_DA_GESTAO_AMBIENTAL/links/582ad5ae08ae102f071febf2/O-ATERRO-SANITARIO-DE-AQUIRAZ-E-O-LIXAO-DE-CASCAVEL-SOB-O-PONTO-DE-VISTA-DA-GESTAO-AMBIENTAL.pdf",NA,47255.9257518084
"43","CE","Juazeiro do Norte","Aterro Sanitário de Juazeiro do Norte",-7.07005799854995,-39.0485706534308,"Orizon e Revert Pro Ambiental",NA,1200,NA,NA,"https://www.infomoney.com.br/mercados/orizon-orvr3-adquire-51-de-aterro-sanitario-em-juazeiro-do-norte/","https://www.google.com/maps/place/Revert+Pro+Ambiental/@-8.3193618,-41.2293568,8z/data=!4m10!1m2!2m1!1sAterro+Sanit%C3%A1rio+de+Juazeiro+do+Norte!3m6!1s0x7a17ff17af74de5:0xb4c27e2f24d3c73a!8m2!3d-7.1614119!4d-39.3111666!15sCiZBdGVycm8gU2FuaXTDoXJpbyBkZSBKdWF6ZWlybyBkbyBOb3J0ZZIBDGdhcmJhZ2VfZHVtcOABAA!16s%2Fg%2F11gjnbf88b?entry=ttu",NA,283535.554510851
