EMPRESA,CNPJ,MUNICÍPIO,UF,MATÉRIA PRIMA,CAPACIDADE DE PRODUÇÃO (Nm³/dia),TIPO DE AUTORIZAÇÃO,PREVISÃO DE CONCLUSÃO DE OBRA,Lat,Long,Tipo_Localizacao,concluida,status,CATEGORIA MATÉRIA PRIMA,Empresa,Investimento,Materia_prima,Fonte 1,Fonte 2
ORIZON BIOMETANO RIO GRANDE LIMITADA,61.759.606/0001-08,FAZENDA RIO GRANDE,PR,biogás de aterro sanitário,100000.0,Construção de Nova Instalação,outubro/2027,-25.65155977104007,-49.30028374610025,aproximada,Obras em andamento,outubro/2027,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,ORIZON BIOMETANO RIO GRANDE LIMITADA,,,,
ORIZON BIOMETANO ROSARIO DO CATETE LIMITADA,49.914.174/0001-59,ROSÁRIO DO CATETE,SE,biogás de aterro sanitário,60000.0,Construção de Nova Instalação,maio/2027,-10.697203838416291,-37.04617470695034,real,Obras em andamento,maio/2027,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,ORIZON BIOMETANO ROSARIO DO CATETE LIMITADA,,Resíduos Sólidos Urbanos,https://movimentoeconomico.com.br/economia/combustivel/2023/11/06/biometano-parceria-visa-120-mil-m%C2%B3-em-se/,
ORIZON BIOMETANO TREMENBÉ LIMITADA,54.620.894/0001-41,TREMENBÉ,SP,biogás de aterro sanitário,43200.0,Construção de Nova Instalação,dezembro/2026,-22.920118359572182,-45.61206420237766,real,Obras em andamento,dezembro/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,ORIZON BIOMETANO TREMENBÉ LIMITADA,,,https://orizonvr.com.br/orizon-assina-contrato-para-fornecer-biometano-a-neogas-por-10-anos/,
SCALON & CERCHI LTDA.,10.868.126/0001-36,SACRAMENTO,MG,,10800.0,Construção de Nova Instalação,outubro/2025,-19.846338363048165,-47.509237248244226,aproximada,Obras em andamento,outubro/2025,NÃO INFORMADO,SCALON & CERCHI LTDA.,64700000.0,Resíduos Industriais (Laticínio),https://agenciadenoticias.bndes.gov.br/socioambiental/BNDES-aprova-R%24-647-milhoes-do-Fundo-Clima-para-estacao-de-tratamento-de-efluentes-do-Laticinio-Scala-em-MG/?utm_source=chatgpt.com,
SCBIO ENERGIAS RENOVÁVEIS SPE LTDA.,47.290.256/0002-25,CAMPOS NOVOS,SC,resíduos suínos,16000.0,Construção de Nova Instalação,Aguardando atualização do cronograma.,-27.41259939119957,-51.23217807529367,real,Obras em andamento,Aguardando cronograma,DEJETOS ANIMAIS,SCBIO ENERGIAS RENOVÁVEIS SPE LTDA.,,,,
SPE BIOO PARANÁ LTDA.,54.550.771/0001-81,TOLEDO,PR,resíduos agrossilvopastoris,36000.0,Construção de Nova Instalação,julho/2026,-25.433920516685266,-49.266067665290585,aproximada,Obras em andamento,julho/2026,PRODUTOS E RESÍDUOS ORGÂNICOS AGROSSILVOPASTORIS E COMERCIAIS,SPE BIOO PARANÁ LTDA.,,,,
SPE BIOO PASSO FUNDO LTDA.,54.992.035/0001-83,PASSO FUNDO,RS,resíduos agrossilvopastoris,36000.0,Construção de Nova Instalação,dezembro/2026,-28.261259743667566,-52.41072637752955,aproximada,Obras em andamento,dezembro/2026,PRODUTOS E RESÍDUOS ORGÂNICOS AGROSSILVOPASTORIS E COMERCIAIS,SPE BIOO PASSO FUNDO LTDA.,,,https://www.estado.rs.gov.br/fepam-concede-licenca-de-instalacao-para-empresa-que-produzira-biogas-em-triunfo,
TRANSLUREAN TRANSPORTES LTDA.,18.544.878/0001-53,CARAMBEÍ,PR,,31440.0,Construção de Nova Instalação,janeiro/2027,-24.69432042352481,-50.010927534682175,real,Obras em andamento,janeiro/2027,NÃO INFORMADO,TRANSLUREAN TRANSPORTES LTDA.,,,,
TROPICAL BIOGÁS LTDA.,48.990.728/0001-34,EDÉIA,GO,vinhaça,17300.0,Construção de Nova Instalação,março/2026,-17.684111517309535,-50.11443143067743,real,Obras em andamento,março/2026,RESÍDUOS ORGÂNICOS AGROINDUSTRIAIS,TROPICAL BIOGÁS LTDA.,500000000.0,,https://frotanews.com.br/mme-aprova-isencao-fiscal-para-projetos-de-biometano-outras-noticias/,
UISA GEO BIOGÁS S.A,35.841.348/0001-96,NOVA OLÍMPIA,MT,produtos e resíduos orgânicos agrossilvopastoris e comerciais,27600.0,Construção de Nova Instalação,janeiro/2026,-14.754903084981784,-57.19302490455419,aproximada,Obras em andamento,janeiro/2026,PRODUTOS E RESÍDUOS ORGÂNICOS AGROSSILVOPASTORIS E COMERCIAIS,UISA GEO BIOGÁS S.A,220000000.0,,https://www.novacana.com/noticias/uisa-geo-biogas-investem-r-220-milhoes-unidade-biogas-mato-grosso-010222,
UTE VICTOR GRAEFF SPE LTDA.,53.017.606/0001-04,VICTOR GRAEFF,RS,,6480.0,Construção de Nova Instalação,fevereiro/2026,-28.56029420269379,-52.74661791488248,aproximada,Obras em andamento,fevereiro/2026,NÃO INFORMADO,UTE VICTOR GRAEFF SPE LTDA.,,,,
UVB MARCA LTDA.,53.421.968/0001-58,CARIACICA,ES,biogás de aterro sanitário,25000.0,Construção de Nova Instalação,fevereiro/2026,-20.233346747491417,-40.370383520300585,aproximada,Obras em andamento,fevereiro/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,UVB MARCA LTDA.,70000000.0,,https://www.agazeta.com.br/colunas/abdo-filho/usina-de-biometano-em-cariacica-marca-ambiental-assina-com-gigante-francesa-0424,
VALORGÁS ENERGIA IGARASSU I ALUGUEL DE EQUIPAMENTOS PARA SISTEMA DE VALORIZAÇÃO ENERGÉTICA E MANUTENÇÃO SPE LTDA.,30.698.744/0001-92,IGARASSU,PE,biogás de aterro sanitário,45760.0,Construção de Nova Instalação,outubro/2026,-7.864301584590267,-34.90969626708664,real,Obras em andamento,outubro/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,VALORGÁS ENERGIA IGARASSU I ALUGUEL DE EQUIPAMENTOS PARA SISTEMA DE VALORIZAÇÃO ENERGÉTICA E MANUTENÇÃO SPE LTDA.,,,,
VALORGÁS FEIRA DE SANTANA LTDA.,35.087.216/0001-10,FEIRA DE SANTANA,BA,biogás de aterro sanitário,21400.0,Construção de Nova Instalação,novembro/2026,-12.24633434847308,-38.993372442327896,real,Obras em andamento,novembro/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,VALORGÁS FEIRA DE SANTANA LTDA.,,,,
ZEG BIOGÁS PINDORAMA SPE LTDA.,56.260.740/0001-11,PENEDO,AL,efluente agroindustrial,33600.0,Construção de Nova Instalação,dezembro/2026,-10.172361117063343,-36.3074763320488,real,Obras em andamento,dezembro/2026,RESÍDUOS ORGÂNICOS AGROINDUSTRIAIS,ZEG BIOGÁS PINDORAMA SPE LTDA.,,,,
